	emp_no	apellido	oficio	dir	fecha_alt	salario	comision	dept_no
0	7902	FERNÁNDEZ	ANALISTA	7566.0	1991-12-03	3000		20
1	7788	GIL	ANALISTA	7566.0	1991-11-09	3000		20
2	7782	CEREZO	DIRECTOR	7839.0	1991-06-09	2885		10
3	7566	JIMÉNEZ	DIRECTOR	7839.0	1991-04-02	2900		20
4	7698	NEGRO	DIRECTOR	7839.0	1991-05-01	3005		30
5	7876	ALONSO	EMPLEADO	7788.0	1991-09-23	1430		20
6	7900	JIMENO	EMPLEADO	7698.0	1991-12-03	1335		30
7	7934	MUÑOZ	EMPLEADO	7782.0	1992-01-23	1690		10
8	7369	SÁNCHEZ	EMPLEADO	7902.0	1990-12-17	1040		20
9	7839	REY	PRESIDENTE		1991-11-17	4100		10
10	7499	ARROYO	VENDEDOR	7698.0	1990-02-20	1500	390.0	30
11	7654	MARTÍN	VENDEDOR	7698.0	1991-09-29	1600	1020.0	30
12	7521	SALA	VENDEDOR	7698.0	1991-02-22	1625	650.0	30
13	7844	TOVAR	VENDEDOR	7698.0	1991-09-08	1350	0.0	30
